8.6 10.25
7.75 9.32
8.55 9.35
9.35 9.55
10.2 9.16
11.2 7.98
8.55 8.55
7.62 8.15
6.95 7.65
9.3 8.57
9.2 7.52
10.06 7.85
6.38 6.66
7.7 6.7
8.5 6.95
10.34 6.8
11.02 6.82
7.01 6.15
8.32 5.9
9.25 6.2
10.35 5.7
11.05 5.62
7.05 5
8 5
8.8 5.25
9.82 4.85
10.5 4.8
7.55 3.8
8.2 4.2
8.85 4.5
9.45 4.15
8.4 3.5
9.25 3
10.5 3.5
10 2.56
9.55 2
8.85 2.32
1.3 2.55
2.75 3.02
3.8 3.1
0.5 3.83
1.45 3.78
2.4 4
3.3 3.85
4.3 4.1
0.6 5.15
1.35 5.15
1.85 4.6
2.6 4.95
3.87 4.6
4.6 5.1
5.35 5.6
5.0 6.3
5.66 6.7
4.9 7.4
4.3 8.9
3.55 6.95
4.17 6.62
4.26 5.9
3.55 5.42
3.2 6.3
1.96 5.7
2.46 6.2
1.34 6.1
0.65 6.75
1.42 7.1
2.06 7.52
2.75 7.12
3.25 7.88
3.2 9
2.16 8.62
0.97 8.65
